year/make/model,price,fuel type
2019 Dodge Journey GT,"$27,891 ",Gasoline
2021 Toyota RAV4 XLE,"$37,951 ",Gasoline
2021 Toyota Highlander XLE,"$43,951 ",Gasoline
2019 BMW 330 i,"$37,991 ",Gasoline
2020 Mazda CX-5 Grand Touring,"$28,988 ",Gasoline
2020 Lexus RX 350 F Sport Performance,"$52,992 ",Gasoline
2022 Toyota Corolla LE,"$29,891 ",Gasoline
2019 Ford F-150 XLT,"$62,999 ",Gasoline
2019 BMW 330 i,"$40,962 ",Gasoline
2019 Land Rover Range Rover 5.0L V8 Supercharged,"$101,900 ",Gasoline
2019 Mazda CX-5 Sport,"$28,988 ",Gasoline
2020 Land Rover Discovery SE,"$48,822 ",Gasoline
2021 Volvo XC40 T5 R-Design,"$49,968 ",Gasoline
2020 Toyota Tundra SR5,"$39,951 ",Gasoline
2020 Dodge Challenger SXT,"$28,843 ",Gasoline
2019 Volvo XC90 T5 Momentum,"$48,968 ",Gasoline
2021 Mazda CX-5 Carbon Edition Turbo,"$41,998 ",Gasoline
2019 BMW 330 i,"$36,995 ",Gasoline
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"$69,977 ",Gasoline
2019 Dodge Journey GT,"$27,891 ",Gasoline
2021 Toyota Highlander XLE,"$42,500 ",Gasoline
2019 Volvo XC60 T5 Momentum,"$42,968 ",Gasoline
2021 Toyota Camry SE,"$34,891 ",Gasoline
2020 Hyundai Santa Fe Limited 2.0T,"$38,981 ",Gasoline
2019 Chevrolet Traverse LT Cloth,"$33,995 ",Gasoline
2019 Honda Pilot Touring 8-Passenger,"$37,000 ",Gasoline
2021 Mercedes-Benz GLC 300 Base,"$48,991 ",Gasoline
2020 Nissan Rogue S,"$26,286 ",Gasoline
2020 Nissan Pathfinder SV,"$29,993 ",Gasoline
2021 Mercedes-Benz GLC 300 Base 4MATIC,"$55,977 ",Gasoline
2020 Nissan Rogue SV,"$26,981 ",Gasoline
2020 Mazda CX-5 Grand Touring,"$29,488 ",Gasoline
2019 Toyota 4Runner Limited,"$39,991 ",Gasoline
2019 Honda Pilot EX-L w/Navigation/RES,"$36,981 ",Gasoline
2019 Ford Edge SEL,"$34,585 ",Gasoline
2021 Toyota Camry SE,"$31,500 ",Gasoline
2021 Toyota Highlander XLE,"$44,891 ",Gasoline
2019 Honda Pilot EX-L,"$36,988 ",Gasoline
2020 GMC Yukon SLT,"$49,500 ",Gasoline
2019 Mercedes-Benz AMG G 63 Base,"$199,777 ",Gasoline
2019 Honda Pilot EX-L,"$36,981 ",Gasoline
2021 Tesla Model Y Performance,"$75,688 ",Electric
2020 Toyota Tundra SR5,"$47,891 ",Gasoline
2021 Mercedes-Benz E-Class E 350,"$64,488 ",Gasoline
2020 Toyota Tundra SR5,"$46,291 ",Gasoline
2019 BMW 330 i,"$41,962 ",Gasoline
2019 BMW X3 sDrive30i,"$35,991 ",Gasoline
2020 Hyundai Santa Fe Limited 2.0T,"$38,981 ",Gasoline
2019 BMW 330 i,"$37,462 ",Gasoline
2020 Toyota RAV4 Hybrid XSE,"$41,992 ",Hybrid
2019 Land Rover Range Rover 5.0L V8 Supercharged,"$99,900 ",Gasoline
2020 Kia Sorento LX V6,"$28,981 ",Gasoline
2021 Mercedes-Benz GLC 300 Base 4MATIC,"$55,977 ",Gasoline
2019 Volvo XC60 T5 Momentum,"$43,968 ",Gasoline
2020 Volvo XC90 T5 Momentum 7 Passenger,"$54,968 ",Gasoline
2019 BMW 330 i,"$39,962 ",Gasoline
2021 Volvo XC40 T5 R-Design,"$51,968 ",Gasoline
2019 Chevrolet Traverse LT Cloth,"$39,995 ",Gasoline
2019 BMW X5 xDrive40i,"$59,962 ",Gasoline
2021 Toyota 4Runner SR5 Premium,"$50,247 ",Gasoline
2019 Volvo XC90 T5 Momentum,"$48,968 ",Gasoline
2021 Toyota Corolla LE,"$27,891 ",Gasoline
2020 Toyota RAV4 XLE,"$31,991 ",Gasoline
2020 Ford F-150 XLT,"$40,999 ",E85 Flex Fuel
2021 Toyota RAV4 LE,"$33,951 ",Gasoline
2019 BMW X3 sDrive30i,"$39,999 ",Gasoline
2019 Toyota 4Runner Limited,"$40,994 ",Gasoline
2019 Nissan Armada Platinum,"$40,992 ",Gasoline
2020 Lexus RX 350 Base,"$49,193 ",Gasoline
2019 Toyota Camry L,"$23,900 ",Gasoline
2020 Nissan Rogue S,"$23,995 ",Gasoline
2020 Land Rover Range Rover Velar S,"$62,900 ",Gasoline
2019 Ford Edge SEL,"$24,428 ",Gasoline
2021 Toyota Corolla LE,"$25,951 ",Gasoline
2019 Jeep Cherokee Latitude Plus,"$24,557 ",Gasoline
2020 Cadillac XT6 Premium Luxury FWD,"$49,900 ",Gasoline
2019 BMW X4 xDrive30i,"$45,962 ",Gasoline
2021 Toyota Corolla LE,"$27,891 ",Gasoline
2021 Toyota Corolla LE,"$24,139 ",Gasoline
2019 Toyota 4Runner SR5,"$37,891 ",Gasoline
2020 Lexus RX 350 Base,"$45,457 ",Gasoline
2019 BMW X4 xDrive30i,"$44,562 ",Gasoline
2020 Land Rover Range Rover HSE,"$96,900 ",Gasoline
2021 Toyota Camry SE,"$32,891 ",Gasoline
2020 Land Rover Range Rover Velar S,"$64,900 ",Gasoline
2019 INFINITI QX50 ESSENTIAL,"$36,344 ",Gasoline
2020 Lexus RX 350,"$44,879 ",Gasoline
2019 Audi Q8 3.0T Premium,"$69,900 ",Gasoline
2019 BMW X4 xDrive30i,"$44,998 ",Gasoline
2019 BMW 330 i,"$40,962 ",Gasoline
2019 INFINITI QX50 ESSENTIAL,"$39,981 ",Gasoline
2019 BMW X5 xDrive40i,"$55,962 ",Gasoline
2019 Ford Edge SEL,"$34,999 ",Gasoline
2021 Toyota Corolla LE,"$28,491 ",Gasoline
2019 Toyota 4Runner SR5,"$36,995 ",Gasoline
2021 Toyota Tundra SR5,"$46,591 ",Gasoline
2021 Toyota Corolla LE,"$27,991 ",Gasoline
2020 GMC Yukon SLT,"$51,900 ",Gasoline
2019 Jeep Cherokee Latitude Plus,"$26,981 ",Gasoline
2020 Lexus RX 350 Base,"$48,559 ",Gasoline
2021 Volkswagen Atlas 3.6 V6 SE w/ Technology,"$40,000 ",Gasoline
2020 Kia Telluride S,"$42,951 ",Gasoline
2020 Nissan Pathfinder SV,"$28,994 ",Gasoline
2019 Hyundai Elantra SEL,"$17,985 ",Gasoline
2019 BMW X3 sDrive30i,"$39,962 ",Gasoline
2020 Toyota Tundra SR5,"$41,995 ",Gasoline
2020 BMW X3 sDrive30i,"$46,962 ",Gasoline
2019 BMW X4 xDrive30i,"$47,991 ",Gasoline
2021 Toyota Highlander XLE,"$43,951 ",Gasoline
2020 Volvo XC90 T5 Momentum 7 Passenger,"$51,968 ",Gasoline
2020 BMW X3 sDrive30i,"$44,601 ",Gasoline
2021 Toyota Tundra SR5,"$45,591 ",Gasoline
2020 Nissan Rogue S,"$25,350 ",Gasoline
2020 Toyota Corolla LE,"$20,897 ",Gasoline
2020 Ford Fusion SE,"$22,737 ",Gasoline
2019 INFINITI QX50 ESSENTIAL,"$34,472 ",Gasoline
2020 Lexus RX 350 Base,"$46,562 ",Gasoline
2020 Toyota RAV4 XLE,"$34,922 ",Gasoline
2020 Toyota Corolla LE,"$23,992 ",Gasoline
2021 Nissan Altima 2.5 SL,"$34,391 ",Gasoline
2021 Ford Mustang Mach-E,"$50,950 ",Electric
2021 Nissan LEAF,null,Electric
2021 Chevrolet Bolt EV,"$32,532 ",Electric
2021 Volkswagen ID.4,"$52,238 ",Electric
2021 Ford Mustang Mach-E,"$49,643 ",Electric
2021 Volkswagen ID.4,"$51,448 ",Electric
2021 Ford Mustang Mach-E,"$53,300 ",Electric
2021 Volkswagen ID.4,"$42,168 ",Electric
2021 Volkswagen ID.4,"$51,448 ",Electric
2021 Ford Mustang Mach-E,"$72,231 ",Electric
2021 Chevrolet Bolt EV,"$28,225 ",Electric
2021 Chevrolet Bolt EV,"$32,532 ",Electric
2021 Volkswagen ID.4,"$54,755 ",Electric
2021 Volkswagen ID.4,"$46,263 ",Electric
2021 Volkswagen ID.4,"$51,010 ",Electric
2021 Volkswagen ID.4,"$55,397 ",Electric
2021 Volkswagen ID.4,"$51,550 ",Electric
2021 Volkswagen ID.4,null,Electric
2021 Volkswagen ID.4,"$49,361 ",Electric
2021 Volkswagen ID.4,null,Electric
2021 Volkswagen ID.4,null,Electric
2021 Volkswagen ID.4,"$45,753 ",Electric
2021 Volkswagen ID.4,"$42,168 ",Electric
2021 Volkswagen ID.4,"$48,809 ",Electric
2021 Ford Mustang Mach-E,"$79,699 ",Electric
2021 Volkswagen ID.4,"$52,967 ",Electric
2021 Volkswagen ID.4,"$54,860 ",Electric
2021 Ford Mustang Mach-E,null,Electric
2021 Volkswagen ID.4,"$55,626 ",Electric
2021 Volkswagen ID.4,null,Electric
2021 Ford Mustang Mach-E,"$49,898 ",Electric
2021 Ford Mustang Mach-E,"$50,323 ",Electric
2021 Volkswagen ID.4,null,Electric
2021 Volkswagen ID.4,"$50,517 ",Electric
2021 Volkswagen ID.4,null,Electric
2021 Volkswagen ID.4,"$46,413 ",Electric
2021 Ford Mustang Mach-E,"$47,801 ",Electric
2021 Volkswagen ID.4,"$45,936 ",Electric
2021 Volkswagen ID.4,"$48,865 ",Electric
2021 Volkswagen ID.4,"$52,078 ",Electric
2021 Ford Mustang Mach-E,"$49,898 ",Electric
2021 Ford Mustang Mach-E,"$53,683 ",Electric
2021 Chevrolet Bolt EV,"$32,141 ",Electric
2021 Ford Mustang Mach-E,"$71,858 ",Electric
2021 Volkswagen ID.4,"$54,583 ",Electric
2021 Chevrolet Bolt EV,"$32,141 ",Electric
2021 Volkswagen ID.4,"$45,385 ",Electric
2021 Chevrolet Bolt EV,"$28,586 ",Electric
2021 Volkswagen ID.4,null,Electric
2021 Volkswagen ID.4,"$49,837 ",Electric
2021 Volkswagen ID.4,"$45,936 ",Electric
2021 MINI Electric Hardtop,null,Electric
2021 Chevrolet Bolt EV,"$32,141 ",Electric
2021 Volkswagen ID.4,"$52,078 ",Electric
2021 Ford Mustang Mach-E,"$64,922 ",Electric
2021 Volkswagen ID.4,null,Electric
2021 Volkswagen ID.4,"$50,969 ",Electric
2021 Ford Mustang Mach-E,"$63,538 ",Electric
2021 Chevrolet Bolt EV,"$27,841 ",Electric
2021 Volkswagen ID.4,"$49,009 ",Electric
2021 Ford Mustang Mach-E,null,Electric
2021 Porsche Taycan,null,Electric
2021 Ford Mustang Mach-E,null,Electric
2021 Volkswagen ID.4,"$54,101 ",Electric
2021 Volkswagen ID.4,"$50,618 ",Electric
2022 Chevrolet Bolt EV,"$33,435 ",Electric
2022 Chevrolet Bolt EUV,"$38,570 ",Electric
2022 Chevrolet Bolt EV,"$35,790 ",Electric
2022 Mazda MX-30 EV,"$38,550 ",Electric
2022 Chevrolet Bolt EUV,"$40,990 ",Electric
2022 Chevrolet Bolt EUV,"$37,155 ",Electric
2022 Chevrolet Bolt EUV,"$37,080 ",Electric
2022 Chevrolet Bolt EV,"$33,830 ",Electric
2022 Chevrolet Bolt EUV,"$38,965 ",Electric
2022 Chevrolet Bolt EV,"$33,930 ",Electric
2022 Chevrolet Bolt EUV,"$37,155 ",Electric
2022 Kia Niro EV,"$40,455 ",Electric
2022 Chevrolet Bolt EUV,"$38,570 ",Electric
2020 Chevrolet Bolt EV,"$44,200 ",Electric
2019 Chevrolet Bolt EV,"$37,780 ",Electric
2020 Chevrolet Bolt EV,"$40,285 ",Electric
2020 Nissan LEAF,"$45,395 ",Electric
2020 Chevrolet Bolt EV,"$38,320 ",Electric
2020 Chevrolet Bolt EV,"$44,350 ",Electric
2020 Chevrolet Bolt EV,"$40,010 ",Electric
2020 Chevrolet Bolt EV,"$37,890 ",Electric
2019 Hyundai Kona Electric,"$42,780 ",Electric
2019 Kia Niro EV,"$45,180 ",Electric
2020 Chevrolet Bolt EV,"$38,715 ",Electric
2021 Ford Explorer,"$53,540 ",Hybrid
2022 Ford F-150,"$78,115 ",Hybrid
2022 Ford F-150,"$67,400 ",Hybrid
2022 Ford Maverick,"$32,355 ",Hybrid
2022 Ford F-150,"$68,755 ",Hybrid
2022 Ford F-150,"$69,305 ",Hybrid
2022 Ford F-150,"$75,930 ",Hybrid
2022 Ford F-150,"$74,070 ",Hybrid
2022 Ford F-150,"$69,780 ",Hybrid
2022 Ford F-150,"$70,990 ",Hybrid
2022 Ford F-150,"$56,595 ",Hybrid
2022 Ford F-150,"$76,365 ",Hybrid
2022 Ford Maverick,"$25,005 ",Hybrid
2022 Ford F-150,"$59,655 ",Hybrid
2022 Ford F-150,"$80,905 ",Hybrid
2022 Ford F-150,"$72,095 ",Hybrid
2022 Ford F-150,"$75,960 ",Hybrid
2022 Ford F-150,"$60,965 ",Hybrid
2022 Ford F-150,"$66,445 ",Hybrid
2022 Ford F-150,"$70,605 ",Hybrid
2022 Ford F-150,"$69,190 ",Hybrid
2020 Lincoln MKZ,null,Hybrid
2020 Lincoln MKZ,null,Hybrid
2020 Ford Explorer,"$56,375 ",Hybrid
2020 Honda CR-V,"$37,070 ",Hybrid
2020 Toyota Avalon,"$46,298 ",Hybrid
2020 Toyota Corolla,"$24,513 ",Hybrid
2020 Ford Explorer,"$55,780 ",Hybrid
2020 Lincoln MKZ,null,Hybrid
